"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Mesprit","Extrasensory","Swift","10.343","382.1","25.5","3498"
"Mew","Infestation","Energy Ball","10.343","443.4","26.47","3735"
"Meganium","Razor Leaf","Earthquake","10.342","365.3","25.21","2757"
"Shadow Probopass","Spark","Rock Slide","10.34","337.3","24.71","2379"
"Klawf","Rock Throw","Bulldoze","10.338","307","24.13","2749"
"Grumpig","Charge Beam","Shadow Ball","10.337","341.5","24.78","2711"
"Lurantis","Fury Cutter","X-Scissor","10.337","282.4","23.63","2743"
"Manectric","Snarl","Psychic Fangs","10.337","217.9","22.15","2678"
"Quaxwell","Wing Attack","Liquidation","10.337","211.8","21.99","2031"
"Dewott","Fury Cutter","Aqua Tail","10.336","210.7","21.96","1992"
"Dubwool","Tackle","Wild Charge","10.336","333.8","24.64","2507"
"Mew","Infestation","Gyro Ball","10.336","443.1","26.45","3735"
"Shadow Delibird","Quick Attack","Ice Punch","10.336","102.7","18.35","1252"
"Pidgeot","Air Slash","Hurricane","10.335","291.2","23.81","2436"
"Weepinbell","Bullet Seed","Return","10.335","156.3","20.38","1844"
"Cacnea","Sucker Punch","Trailblaze","10.333","111","18.71","1421"
"Masquerain","Infestation","Air Cutter","10.333","253.1","22.99","2598"
"Shadow Whiscash","Mud Shot","Water Pulse","10.333","274.1","23.45","2374"
"Tranquill","Air Slash","Return","10.333","173.1","20.91","1650"
"Abomasnow","Powder Snow","Energy Ball","10.332","315","24.28","2702"
"Aipom","Scratch","Return","10.332","167.7","20.74","1542"
"Shadow Hypno","Confusion","Ice Punch","10.331","302.8","24.04","2391"
"Charmeleon","Ember","Flamethrower","10.329","191.9","21.44","1891"
"Quilava","Ember","Flamethrower","10.329","191.9","21.44","1891"
"Whimsicott","Razor Leaf","Moonblast","10.329","266.3","23.27","2304"
"Golbat","Bite","Shadow Ball","10.326","265.1","23.24","2261"
"Aromatisse","Charm","Draining Kiss","10.325","326","24.47","2678"
"Clefable","Charge Beam","Psychic","10.323","335.1","24.64","2788"
"Crobat","Air Slash","Poison Fang","10.322","336.9","24.67","3027"
"Malamar","Psycho Cut","Superpower","10.321","317.1","24.3","2698"
"Shadow Alolan Marowak","Fire Spin","Flame Wheel","10.321","233.3","22.51","2100"
"Axew","Scratch","Dragon Claw","10.319","137.8","19.73","1566"
"Lairon","Iron Tail","Return","10.319","296.6","23.89","2352"
"Shadow Cradily","Bullet Seed","Stone Edge","10.319","306.8","24.1","2529"
"Shadow Exploud","Bite","Disarming Voice","10.319","256.3","23.04","2685"
"Shadow Hypno","Zen Headbutt","Focus Blast","10.319","302.5","24.01","2391"
"Stoutland","Take Down","Play Rough","10.319","343.8","24.79","3234"
"Magnemite","Spark","Return","10.317","120.3","19.06","1558"
"Shadow Shiftry","Bullet Seed","Leaf Tornado","10.317","206.1","21.81","2669"
"Cloyster","Ice Shard","Aurora Beam","10.315","337.3","24.67","2914"
"Shadow Porygon","Hidden Power (Fire)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Fighting)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Water)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Flying)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Grass)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Poison)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Electric)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Ground)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Psychic)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Rock)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Ice)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Bug)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Dragon)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Ghost)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Dark)","Discharge","10.315","183.4","21.18","1968"
"Shadow Porygon","Hidden Power (Steel)","Discharge","10.315","183.4","21.18","1968"
"Walrein","Frost Breath","Water Pulse","10.314","401.9","25.77","3118"
"Bellsprout","Vine Whip","Return","10.311","94.6","17.94","1182"
"Ludicolo","Razor Leaf","Scald","10.311","320.5","24.35","2658"
"Houndour","Feint Attack","Return","10.309","114.7","18.83","1412"
"Shadow Porygon","Charge Beam","Discharge","10.309","183.3","21.17","1968"
"Blastoise","Water Gun","Skull Bash","10.306","368.7","25.21","2821"
"Crawdaunt","Snarl","Vise Grip","10.305","224.8","22.27","2830"
"Graveler","Mud Slap","Rock Blast","10.303","235.7","22.53","2171"
"Klinklang","Charge Beam","Hyper Beam","10.303","318.4","24.29","3017"
"Mew","Steel Wing","Low Sweep","10.303","441.7","26.36","3735"
"Mew","Waterfall","Ancient Power","10.302","441.7","26.36","3735"
"Poliwrath","Rock Smash","Scald","10.302","361.3","25.07","2958"
"Shadow Raticate","Quick Attack","Dig","10.302","169","20.73","1980"
"Abomasnow","Powder Snow","Return","10.301","314.1","24.21","2702"
"Chesnaught","Smack Down","Gyro Ball","10.301","392.2","25.59","3380"
"Eldegoss","Bullet Seed","Grass Knot","10.301","314.2","24.21","2282"
"Beedrill","Bug Bite","Drill Run","10.298","211","21.91","2112"
"Meowstic - Female","Charm","Shadow Ball","10.298","288.7","23.7","2430"
"Tyrunt","Tackle","Dragon Claw","10.298","187.3","21.27","1870"
"Mew","Rock Smash","Stone Edge","10.297","441.4","26.35","3735"
"Relicanth","Water Gun","Aqua Tail","10.297","427.7","26.14","2892"
"Suicune","Hidden Power","Hydro Pump","10.297","490.5","27.05","3412"
"Forretress","Struggle Bug","Heavy Slam","10.296","352.5","24.91","2611"
"Furfrou","Bite","Grass Knot","10.294","291.5","23.75","2415"
"Kangaskhan","Mud Slap","Earthquake","10.293","364.8","25.11","2958"
"Drapion","Ice Fang","Crunch","10.291","331.5","24.52","2806"
"Octillery","Water Gun","Aurora Beam","10.29","249.8","22.84","2648"
"Sawsbuck","Take Down","Hyper Beam","10.29","269.6","23.28","2764"
"Gourgeist - Average Size","Razor Leaf","Fire Blast","10.289","331.5","24.51","2734"
"Hitmontop","Rock Smash","Triple Axel","10.289","275.6","23.41","2467"
"Minun","Spark","Thunderbolt","10.289","229.1","22.35","1938"
"Suicune","Snarl","Bubble Beam","10.288","490.1","27.03","3412"
"Drapion","Infestation","Return","10.286","331.4","24.51","2806"
"Hakamo-o","Dragon Tail","Dragon Claw","10.286","232.7","22.43","1929"
"Calyrex","Confusion","Energy Ball","10.284","346.8","24.78","2606"
"Shadow Omanyte","Mud Shot","Bubble Beam","10.283","144","19.89","1767"
"Slaking","Yawn","Hyper Beam","10.283","441.8","26.33","5069"
"Shadow Bulbasaur","Tackle","Sludge Bomb","10.282","122.6","19.11","1275"
"Mew","Snarl","Ancient Power","10.281","440.8","26.31","3735"
"Tentacruel","Acid","Blizzard","10.281","374.8","25.26","2771"
"Huntail","Bite","Crunch","10.279","254.9","22.94","2677"
"Furfrou","Sucker Punch","Grass Knot","10.276","291","23.71","2415"
"Girafarig","Double Kick","Trailblaze","10.276","225.8","22.25","2341"
"Cherrim (Sunshine Form)","Bullet Seed","Weather Ball Fire","10.275","256.3","22.96","2342"
"Shadow Persian","Scratch","Night Slash","10.275","182.7","21.1","1932"
"Swoobat","Confusion","Aerial Ace","10.275","198.9","21.55","1963"
"Masquerain","Infestation","Lunge","10.274","251.7","22.86","2598"
"Reuniclus","Hidden Power (Fire)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Fighting)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Water)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Flying)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Grass)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Poison)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Electric)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Ground)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Rock)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Ice)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Bug)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Dragon)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Ghost)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Dark)","Thunder","10.274","341.7","24.67","3349"
"Reuniclus","Hidden Power (Steel)","Thunder","10.274","341.7","24.67","3349"
"Cacnea","Poison Sting","Seed Bomb","10.269","110.3","18.59","1421"
"Cresselia","Psycho Cut","Future Sight","10.268","612","28.53","3269"
"Altaria","Peck","Sky Attack","10.267","345.1","24.72","2293"
"Kingler","Metal Claw","Vise Grip","10.267","257.2","22.97","3236"
"Octillery","Mud Shot","Water Pulse","10.267","249.2","22.79","2648"
"Vanilluxe","Astonish","Signal Beam","10.267","306.6","24","3228"
"Shadow Shuppet","Feint Attack","Ominous Wind","10.265","77.1","17","1165"
"Oranguru","Confusion","Trailblaze","10.264","374.5","25.23","2803"
"Politoed","Bubble","Earthquake","10.264","350.9","24.82","2802"
"Sigilyph","Zen Headbutt","Ancient Power","10.264","283.3","23.52","2917"
"Mienfoo","Low Kick","Focus Blast","10.263","131.7","19.42","1589"
"Shadow Bulbasaur","Vine Whip","Seed Bomb","10.263","122.3","19.07","1275"
"Shadow Drilbur","Mud Slap","Rock Tomb","10.263","115.4","18.79","1574"
"Shadow Delibird","Ice Shard","Ice Punch","10.26","101.9","18.21","1252"
"Krokorok","Mud Slap","Crunch","10.259","145.4","19.91","1622"
"Shadow Drifblim","Hex","Icy Wind","10.259","259.7","23.01","2725"
"Shadow Golbat","Bite","Poison Fang","10.258","219.5","22.06","2261"
"Drifblim","Astonish","Ominous Wind","10.256","311.5","24.08","2725"
"Wugtrio","Mud Slap","Dig","10.256","154.9","20.22","2168"
"Ludicolo","Bubble","Blizzard","10.255","318.8","24.22","2658"
"Shadow Wartortle","Water Gun","Hydro Pump","10.255","193.8","21.38","1702"
"Floragato","Leafage","Energy Ball","10.254","199.1","21.52","1921"
"Galarian Farfetch'd","Rock Smash","Brick Break","10.254","163.8","20.5","1915"
"Mew","Rock Smash","Energy Ball","10.254","439.6","26.24","3735"
"Shadow Ekans","Acid","Sludge Bomb","10.254","95.7","17.92","1061"
"Shadow Mawile","Bite","Power-Up Punch","10.254","160.9","20.41","1870"
"Boldore","Mud Slap","Solar Beam","10.252","240.5","22.56","2321"
"Zorua","Feint Attack","Dark Pulse","10.252","102.2","18.22","1345"
"Pikipek","Peck","Drill Peck","10.25","75.9","16.91","1041"
"Shadow Spoink","Zen Headbutt","Shadow Ball","10.25","157.9","20.31","1526"
"Smoochum","Frost Breath","Psyshock","10.25","123.4","19.09","1477"
"Tentacruel","Acid","Sludge Wave","10.25","373.7","25.19","2771"
"Klefki","Astonish","Play Rough","10.249","258.9","22.98","2230"
"Mega Sableye","Shadow Claw","Return","10.249","285.7","23.55","2222"
"Pidgeot","Steel Wing","Hurricane","10.249","288.8","23.61","2436"
"Shadow Sealeo","Water Gun","Aurora Beam","10.249","221.3","22.09","1962"
"Anorith","Struggle Bug","Ancient Power","10.248","133.8","19.48","1750"
"Shadow Porygon","Charge Beam","Solar Beam","10.248","182.2","21.05","1968"
"Bouffalant","Zen Headbutt","Megahorn","10.247","370.2","25.12","3200"
"Zygarde (Complete Forme)","Zen Headbutt","Hyper Beam","10.247","729.6","29.77","4258"
"Metang","Metal Claw","Psychic","10.245","264.1","23.09","1969"
"Shadow Poliwrath","Bubble","Icy Wind","10.245","299.5","23.82","2958"
"Charmeleon","Scratch","Flamethrower","10.244","190.4","21.27","1891"
"Glalie","Frost Breath","Return","10.244","295.1","23.73","2409"
"Shadow Croconaw","Scratch","Water Pulse","10.244","189.4","21.24","1970"
"Slowbro","Water Gun","Scald","10.244","366.4","25.05","2911"
"Slowking","Water Gun","Scald","10.244","366.4","25.05","2911"
"Mr. Mime","Magical Leaf","Psybeam","10.243","241.5","22.57","2549"
"Zygarde (10% Forme)","Zen Headbutt","Crunch","10.243","243.1","22.61","2717"
"Seviper","Iron Tail","Poison Fang","10.242","207.6","21.73","2409"
"Kricketune","Struggle Bug","X-Scissor","10.241","186.1","21.14","1891"
"Mawile","Ice Fang","Play Rough","10.241","192.8","21.33","1870"
"Shadow Gligar","Fury Cutter","Dig","10.241","240","22.53","2124"
"Corviknight","Air Slash","Iron Head","10.24","397.1","25.55","2811"
"Mew","Rock Smash","Gyro Ball","10.24","439","26.2","3735"
"Mew","Frost Breath","Flash Cannon","10.239","439","26.2","3735"
"Arbok","Acid","Sludge Wave","10.237","232.1","22.34","2197"
"Shadow Hypno","Confusion","Fire Punch","10.236","300","23.82","2391"
"Crabrawler","Bubble","Crabhammer","10.235","142.1","19.76","1559"
"Shadow Pupitar","Bite","Crunch","10.231","187.3","21.16","2020"
"Smoochum","Pound","Psyshock","10.229","123.1","19.05","1477"
"Bouffalant","Mud Shot","Megahorn","10.227","369.5","25.07","3200"
"Girafarig","Tackle","Psychic Fangs","10.227","224.7","22.14","2341"
"Ninetales","Ember","Return","10.226","319.6","24.18","2608"
"Piloswine","Powder Snow","Bulldoze","10.226","298.1","23.76","2683"
"Sudowoodo","Counter","Stone Edge","10.226","290","23.6","2457"
"Gyarados","Dragon Tail","Twister","10.223","376.8","25.19","3879"
"Lopunny","Double Kick","Hyper Beam","10.223","302","23.83","2356"
"Dugtrio","Mud Shot","Earthquake","10.222","154.4","20.15","1793"
"Electrode","Spark","Hyper Beam","10.222","259.4","22.94","2401"
"Ninetales","Fire Spin","Heat Wave","10.222","319.4","24.17","2608"
"Pawmo","Charge Beam","Discharge","10.222","133.8","19.44","1486"
"Shadow Croconaw","Scratch","Ice Punch","10.222","189","21.2","1970"
"Beautifly","Struggle Bug","Air Cutter","10.221","155.9","20.2","2020"
"Mew","Volt Switch","Energy Ball","10.221","438.2","26.15","3735"
"Tranquill","Steel Wing","Return","10.221","171.3","20.68","1650"
"Ariados","Poison Sting","Megahorn","10.22","210.9","21.78","2027"
"Poliwrath","Mud Shot","Return","10.22","358.4","24.87","2958"
"Mew","Dragon Tail","Low Sweep","10.219","438.1","26.15","3735"
"Mew","Cut","Bulldoze","10.219","438.1","26.15","3735"
"Garganacl","Smack Down","Ancient Power","10.218","441.9","26.2","3102"
"Silvally","Bite","Aerial Ace","10.218","399.2","25.55","3375"
"Gurdurr","Low Kick","Stone Edge","10.217","257.4","22.89","2482"
"Graveler","Rock Throw","Dig","10.216","233.7","22.34","2171"
"Ninetales","Ember","Fire Blast","10.216","319.2","24.15","2608"
"Combusken","Ember","Return","10.215","179.2","20.91","1890"
"Dartrix","Peck","Brave Bird","10.214","251","22.74","1973"
"Dusknoir","Astonish","Psychic","10.213","311.9","24.01","2732"
"Articuno","Frost Breath","Icy Wind","10.211","451.7","26.33","3491"
"Bronzong","Metal Sound","Psyshock","10.209","336.3","24.46","2561"
"Masquerain","Air Slash","Bubble Beam","10.209","250.1","22.71","2598"
"Shadow Psyduck","Water Gun","Aqua Tail","10.209","112.9","18.62","1265"
"Suicune","Snarl","Ice Beam","10.208","486.3","26.82","3412"
"Gothitelle","Charm","Return","10.207","333.4","24.4","2768"
"Raticate","Bite","Hyper Beam","10.207","200.9","21.5","1980"
"Vigoroth","Counter","Body Slam","10.207","265.8","23.06","2251"
"Noivern","Bite","Heat Wave","10.206","327.9","24.3","3162"
"Litleo","Fire Fang","Flamethrower","10.205","178","20.85","1631"
"Kingdra","Water Gun","Octazooka","10.204","331.9","24.37","3022"
"Mew","Volt Switch","Gyro Ball","10.204","437.5","26.11","3735"
"Shadow Loudred","Bite","Flamethrower","10.203","137.4","19.54","1518"
"Misdreavus","Hex","Return","10.2","232.7","22.29","2204"
"Shadow Solosis","Hidden Power (Psychic)","Night Shade","10.2","94.6","17.8","1564"
"Mew","Rock Smash","Thunder","10.199","437.3","26.1","3735"
"Shadow Metang","Zen Headbutt","Gyro Ball","10.199","219.1","21.96","1969"
"Houndour","Feint Attack","Dark Pulse","10.198","113.5","18.62","1412"
"Gastly","Sucker Punch","Dark Pulse","10.194","77.6","16.94","1406"
"Grafaiai","Mud Slap","Poison Fang","10.193","232.3","22.27","2590"
"Blastoise","Bite","Return","10.19","364.6","24.92","2821"
"Pyroar","Take Down","Dark Pulse","10.19","285.3","23.44","3166"
"Lapras","Water Gun","Skull Bash","10.187","446.4","26.21","3021"
"Mew","Volt Switch","Stone Edge","10.187","436.7","26.07","3735"
"Charjabug","Bug Bite","Discharge","10.186","233.4","22.29","1942"
"Throh","Low Kick","Brick Break","10.186","389.2","25.33","2931"
"Galarian Stunfisk","Metal Claw","Earthquake","10.185","383.5","25.23","2474"
"Gloom","Acid","Return","10.185","207.6","21.64","1923"
"Butterfree","Confusion","Psychic","10.183","208.9","21.67","2090"
"Mega Mawile","Ice Fang","Return","10.183","285.1","23.42","2723"
"Pidgeot","Wing Attack","Aerial Ace","10.183","286.9","23.46","2436"
"Hisuian Electrode","Tackle","Energy Ball","10.182","262.5","22.94","2459"
"Houndour","Ember","Flamethrower","10.182","113.3","18.6","1412"
"Marshtomp","Water Gun","Return","10.181","223.7","22.04","2032"
"Butterfree","Struggle Bug","Psychic","10.179","208.8","21.66","2090"
"Abomasnow","Leafage","Icy Wind","10.178","310.3","23.92","2702"
"Avalugg","Bite","Icy Wind","10.178","476","26.62","3659"
"Wailord","Zen Headbutt","Scald","10.178","298.4","23.68","2608"
"Octillery","Lock-On","Water Pulse","10.177","247","22.59","2648"
"Shadow Roggenrola","Smack Down","Power Gem","10.177","135.5","19.44","1378"
"Shadow Dugtrio","Sucker Punch","Stone Edge","10.176","128.1","19.17","1793"
"Sinistea","Sucker Punch","Shadow Ball","10.176","121.1","18.9","1303"
"Virizion","Quick Attack","Stone Edge","10.175","441.5","26.12","3457"
"Shelgon","Ember","Dragon Pulse","10.174","244.4","22.53","2324"
"Nidoqueen","Poison Jab","Poison Fang","10.172","337","24.4","2846"
"Watchog","Low Kick","Grass Knot","10.171","211.4","21.72","2081"
"Whimsicott","Fairy Wind","Moonblast","10.17","262.2","22.92","2304"
"Galarian Farfetch'd","Fury Cutter","Brick Break","10.169","162.5","20.33","1915"
"Shadow Geodude","Rock Throw","Dig","10.169","133.5","19.36","1479"
"Talonflame","Fire Spin","Flame Charge","10.169","275.9","23.21","2522"
"Castform (Sunny)","Ember","Weather Ball Fire","10.168","232.5","22.23","1867"
"Shadow Persian","Feint Attack","Power Gem","10.167","180.8","20.88","1932"
"Ninetales","Ember","Solar Beam","10.166","317.7","24.04","2608"
"Gourgeist - Average Size","Hex","Foul Play","10.165","327.5","24.22","2734"
"Barbaracle","Mud Slap","Cross Chop","10.164","339.1","24.43","3061"
"Slowking","Water Gun","Fire Blast","10.16","363.3","24.84","2911"
"Hitmonchan","Rock Smash","Thunder Punch","10.159","259.9","22.85","2667"
"Shadow Alolan Sandslash","Powder Snow","Bulldoze","10.159","276.6","23.21","2783"
"Avalugg","Ice Fang","Body Slam","10.158","475","26.56","3659"
"Bronzong","Feint Attack","Heavy Slam","10.158","334.7","24.34","2561"
"Mew","Frost Breath","Bulldoze","10.158","435.5","25.99","3735"
"Gabite","Mud Shot","Dig","10.156","207.7","21.6","2144"
"Avalugg","Bite","Crunch","10.155","474.9","26.56","3659"
"Mega Mawile","Fire Fang","Power-Up Punch","10.155","284.3","23.36","2723"
"Shadow Sableye","Feint Attack","Power Gem","10.155","154.2","20.05","1688"
"Arctovish","Water Gun","Brine","10.154","357.9","24.74","2800"
"Gastrodon - East Sea","Mud Slap","Water Pulse","10.153","329.9","24.24","2659"
"Gastrodon - West Sea","Mud Slap","Water Pulse","10.153","329.9","24.24","2659"
"Lickilicky","Lick","Body Slam","10.153","406","25.53","2822"
"Shadow Mareep","Tackle","Thunderbolt","10.153","101.7","18.06","1133"
"Shadow Porygon","Hidden Power (Fire)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Fighting)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Water)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Flying)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Grass)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Poison)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Electric)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Ground)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Psychic)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Rock)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Ice)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Bug)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Dragon)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Ghost)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Dark)","Solar Beam","10.153","180.6","20.85","1968"
"Shadow Porygon","Hidden Power (Steel)","Solar Beam","10.153","180.6","20.85","1968"
"Wailord","Zen Headbutt","Hyper Beam","10.153","297.6","23.63","2608"
"Zygarde (Complete Forme)","Zen Headbutt","Bulldoze","10.153","722.9","29.49","4258"
"Gloom","Razor Leaf","Return","10.152","206.9","21.57","1923"
"Cacnea","Sand Attack","Return","10.151","109","18.38","1421"
"Parasect","Struggle Bug","X-Scissor","10.151","220.6","21.92","2127"
"Electrode","Volt Switch","Foul Play","10.149","257.5","22.78","2401"
"Claydol","Confusion","Psychic","10.148","334.2","24.31","2255"
"Mienfoo","Pound","Focus Blast","10.147","130.2","19.2","1589"
"Duosion","Hidden Power (Psychic)","Night Shade","10.146","169.2","20.5","2309"
"Arbok","Bite","Return","10.145","230","22.14","2197"
"Cresselia","Confusion","Grass Knot","10.145","604.7","28.19","3269"
"Regice","Rock Smash","Blizzard","10.145","535","27.34","3572"
"Seadra","Dragon Breath","Dragon Pulse","10.145","221.7","21.94","2394"
"Misdreavus","Psywave","Return","10.144","231.4","22.17","2204"
"Shadow Turtwig","Razor Leaf","Seed Bomb","10.144","135.1","19.38","1358"
"Pidgeot","Air Slash","Aerial Ace","10.143","285.8","23.37","2436"
"Gothorita","Confusion","Psychic","10.142","230","22.13","1835"
"Mew","Shadow Claw","Low Sweep","10.142","434.8","25.95","3735"
"Shadow Mareep","Tackle","Discharge","10.142","101.6","18.04","1133"
"Veluza","Ice Fang","Water Pulse","10.142","275.3","23.15","2787"
"Shadow Flaaffy","Tackle","Trailblaze","10.141","155.6","20.07","1740"
"Drakloak","Astonish","Dragon Pulse","10.14","177.8","20.75","1889"
"Shadow Steelix","Iron Tail","Crunch","10.14","377.4","25.05","2762"
"Elgyem","Astonish","Psychic","10.138","149","19.85","1584"
"Aromatisse","Charge Beam","Psychic","10.137","320","24.03","2678"
"Galvantula","Charge Beam","Energy Ball","10.137","215.2","21.76","2523"
"Lopunny","Pound","Triple Axel","10.137","299.4","23.63","2356"
"Torkoal","Ember","Overheat","10.137","328.1","24.18","2394"
"Shadow Mightyena","Fire Fang","Poison Fang","10.135","184.3","20.93","2203"
"Galarian Mr. Mime","Zen Headbutt","Psybeam","10.134","225","22","2366"
"Lanturn","Water Gun","Hydro Pump","10.134","346.1","24.5","2385"
"Shadow Drapion","Ice Fang","Fell Stinger","10.134","272.1","23.07","2806"
"Shadow Stunky","Bite","Crunch","10.134","123.2","18.92","1317"
"Shiftry","Bullet Seed","Hurricane","10.134","242.9","22.42","2669"
"Giratina (Altered Forme)","Shadow Claw","Shadow Sneak","10.133","577.3","27.84","3866"
"Alolan Raticate","Quick Attack","Return","10.132","266.4","22.94","1950"
"Emolga","Thunder Shock","Acrobatics","10.13","183.9","20.91","1869"
"Hypno","Zen Headbutt","Psychic","10.13","356.3","24.67","2391"
"Alcremie","Tackle","Energy Ball","10.129","312","23.86","3068"
"Galarian Slowking","Hex","Sludge Wave","10.128","362.2","24.77","3108"
"Luxio","Bite","Return","10.128","150.4","19.88","1700"
"Claydol","Mud Slap","Psychic","10.126","333.5","24.26","2255"
"Mew","Struggle Bug","Energy Ball","10.126","434.1","25.91","3735"
"Mew","Steel Wing","Flame Charge","10.125","434.1","25.91","3735"
"Mega Mawile","Astonish","Iron Head","10.124","283.4","23.29","2723"
"Lickilicky","Lick","Solar Beam","10.123","404.8","25.46","2822"
"Boldore","Mud Slap","Stone Edge","10.12","237.4","22.27","2321"
"Alolan Sandslash","Shadow Claw","Drill Run","10.118","330.6","24.19","2783"
"Galarian Moltres","Sucker Punch","Ancient Power","10.118","438.7","25.96","3623"
"Quilava","Tackle","Flamethrower","10.118","188","21.01","1891"
"Lanturn","Charge Beam","Thunderbolt","10.117","345.5","24.46","2385"
"Shadow Dragonair","Iron Tail","Wrap","10.117","171.7","20.53","2036"
"Shadow Vibrava","Sand Attack","Bug Buzz","10.117","116","18.62","1401"
"Gorebyss","Confusion","Draining Kiss","10.115","250.8","22.57","2853"
"Mightyena","Ice Fang","Crunch","10.115","220.8","21.86","2203"
"Shadow Quagsire","Mud Shot","Stone Edge","10.114","244.2","22.42","2279"
"Combusken","Peck","Flamethrower","10.113","177.4","20.7","1890"
"Nidoking","Poison Jab","Sand Tomb","10.113","282.8","23.26","2936"
"Shadow Teddiursa","Scratch","Crunch","10.113","122.8","18.88","1520"
"Wigglytuff","Pound","Ice Beam","10.112","261.3","22.8","2204"
"Dubwool","Tackle","Body Slam","10.111","326.6","24.11","2507"
"Shadow Vibrava","Sand Attack","Bulldoze","10.111","115.9","18.61","1401"
"Forretress","Bug Bite","Earthquake","10.11","346.1","24.46","2611"
"Gastrodon - East Sea","Mud Slap","Body Slam","10.11","328.5","24.14","2659"
"Gastrodon - West Sea","Mud Slap","Body Slam","10.11","328.5","24.14","2659"
"Persian","Feint Attack","Return","10.11","215.7","21.73","1932"
"Stoutland","Ice Fang","Crunch","10.11","336.8","24.29","3234"
"Gastly","Sucker Punch","Night Shade","10.108","77","16.79","1406"
"Shadow Regice","Lock-On","Thunder","10.108","444.2","26.02","3572"
"Appletun","Astonish","Energy Ball","10.107","332","24.2","2805"
"Corphish","Bubble","Razor Shell","10.107","128.1","19.07","1408"
"Golduck","Confusion","Cross Chop","10.107","291.2","23.42","2803"
"Shadow Raticate","Bite","Dig","10.107","165.8","20.34","1980"
"Castform (Snowy)","Powder Snow","Weather Ball Ice","10.106","231","22.1","1867"
"Doduo","Quick Attack","Aerial Ace","10.106","99.1","17.88","1373"
"Dragalge","Acid","Aqua Tail","10.106","317.1","23.92","2727"
"Electrode","Tackle","Return","10.106","256.4","22.68","2401"
"Politoed","Bubble","Ice Beam","10.106","345.5","24.44","2802"
"Wailord","Zen Headbutt","Blizzard","10.106","296.3","23.52","2608"
"Claydol","Extrasensory","Psychic","10.104","332.8","24.21","2255"
"Dugtrio","Mud Shot","Mud Bomb","10.104","152.6","19.92","1793"
"Frigibax","Ice Fang","Avalanche","10.104","144.2","19.64","1427"
"Galarian Slowking","Confusion","Scald","10.103","361.3","24.71","3108"
